DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,DESC,YEAR_DISPLAY,NAME,WILL_NO,YEAR,SHIP,PROPERTY,PROPERTY_INDEX,CORRES_SUBJ,SUBJ_SR,NAME_TITLE,NAME_RANK,NAME_SEE_ALSO,DESC_SR
CSO22/1/141 file number 2972,,https://stors.tas.gov.au/NI/1784084,Application by the widow of W Peet for any salary due to him as District Constable at Kangaroo Point.,,"Peet, William",2972,1845,,,,,,,,,
CSO22/1/121 file number 2483,,https://stors.tas.gov.au/NI/1784087,"Authority for a salary increase to be granted to P Pegus, Gaoler at Oatlands.",,"Pegus, Peter",2483,1844,,,,,,,,,
CSO22/1/88 file number 1863,,https://stors.tas.gov.au/NI/1784090,Petition by W Pendred for a reward for the capture of certain absconders.,,"Pendred, William",1863,1843,,,,,,,,,
CSO22/1/136 file number 1995,,https://stors.tas.gov.au/NI/1784091,Petitions from various persons for remission of sentences.,,"Penney, John",1995,1845,,,,,,,,,
CSO22/1/128 file number 2666,,https://stors.tas.gov.au/NI/1784095,"Application by J.W Peppers, holding a provisional free pardon, for permission to leave the Colony.",,"Peppers, J",2666,1844,,,,,,,,,
CSO22/1/1 file number 106,,https://stors.tas.gov.au/NI/1784097,Instructions that all Police Magistrates are to comment on memorials for indulgences forwarded through them.,,"Perram, Robert",106,1841,,,,,,,,,
CSO22/1/131 file number 2794,,https://stors.tas.gov.au/NI/1784098,Petition by Mary Perrinman for the release from gaol of her husband.,,"Perriman, Mary",2794,1845,,,,,,,,,
CSO22/1/85 file number 1826,,https://stors.tas.gov.au/NI/1784101,Arrangements for the work of the Crown Solicitor to be continued during his illness.,,"Perry, Arthur",1826,1843,,,,,,,,,
CSO22/1/132 file number 2824,,https://stors.tas.gov.au/NI/1784105,Acceptance of a tender by D Pestall for repairs to the fence at Morven Watch House.,,"Pestall, Daniel",2824,1845,,,,,,,,,
CSO22/1/93 file number 1995,,https://stors.tas.gov.au/NI/1784108,Petitions from various persons for remission of sentences.,,"Petts, William",1995,1843,,,,,,,,,
CSO22/1/123 file number 2525,,https://stors.tas.gov.au/NI/1784113,Applications for the position of Collecting Clerk in the Hobart Police Office.,,"Philipson, George",2525,1844,,,,,,,,,
CSO22/1/88 file number 1863,,https://stors.tas.gov.au/NI/1784116,Petition by W Pendred for a reward for the capture of certain absconders.,,"Phipps, James",1863,1843,,,,,,,,,
CSO22/1/73 file number 1608,,https://stors.tas.gov.au/NI/1784119,Application by F Pignenet for employment in the Engineer Department.,,"Pignenet, Frederick",1608,1843,,,,,,,,,
CSO22/1/110 file number 2386,,https://stors.tas.gov.au/NI/1784120,Application by certain constables for travelling expenses for escort duty between Launceston and Hobart,,"Pike, John",2386,1844,,,,,,,,,
CSO22/1/85 file number 1825,,https://stors.tas.gov.au/NI/1784124,Selection of a site for the erection of a new Female House of Correction at Oyster Cove.,,"Pitcairn, Robert",1825,1843,,,,,,,,,
CSO22/1/128 file number 2660,,https://stors.tas.gov.au/NI/1784127,Petitions from various persons for free passages from the Colony.,,"Plumridge, Robert",2660,1844,,,,,,,,,
CSO22/1/37 file number 1206,,https://stors.tas.gov.au/NI/1784129,"Application for the position of Registrar of the Court of Requests, Hobart.",,"Pogson, G",1206,1842,,,,,,,,,
CSO22/1/122 file number 2497,,https://stors.tas.gov.au/NI/1784132,Petitions from certain persons for free passages from the Colony.,,"Poklash, William",2497,1844,,,,,,,,,
CSO22/1/45 file number 5,,https://stors.tas.gov.au/NI/1784139,Petitions and recommendations for the issue of rations to destitute persons.,,"Poole, Henry",5,1841,,,,,,,,,
CSO22/1/24 file number 1299|CSO22/1/24 file number 1300,|,https://stors.tas.gov.au/NI/1784141,Petition from certain persons for remission of sentences.,,"Porter, Thomas","1299, 1300",1842,,,,,,,,,
CSO22/1/94 file number 1995,,https://stors.tas.gov.au/NI/1784142,Petitions from various persons for remission of sentences.,,"Porter, Thomas",1995,1844,,,,,,,,,
CSO22/1/110 file number 2386,,https://stors.tas.gov.au/NI/1784143,Application by certain constables for travelling expenses for escort duty between Launceston and Hobart.,,"Potter, James",2386,1844,,,,,,,,,
CSO22/1/130 file number 2730,,https://stors.tas.gov.au/NI/1784144,Authority for the wife of Constable J Potter to be paid for acting as Female Searcher at the Launceston Watch House.,,"Potter, James",2730,1844,,,,,,,,,
CSO22/1/45 file number 5,,https://stors.tas.gov.au/NI/1784149,Petitions and recommendations for the issue of rations to destitute persons.,,"Power, Ellen",5,1841,,,,,,,,,
CSO22/1/27 file number 948,,https://stors.tas.gov.au/NI/1784152,Application by G.A Livesay for a remission of sentence imposed on Ann Powers.,,"Powers, Ann",948,1842,,,,,,,,,
CSO22/1/43 file number 1369,,https://stors.tas.gov.au/NI/1784154,Petition by M Powlett for a remission of sentence imposed on her husband.,,"Powlett, Margaret",1369,1842,,,,,,,,,
CSO22/1/73 file number 1601,,https://stors.tas.gov.au/NI/1784156,Claim by T Shone for compensation for attending and giving evidence at the trial of E Cash and Pratt.,,"Pratt, Given Name Not Recorded",1601,1843,,,,,,,,,
CSO22/1/72 file number 1595,,https://stors.tas.gov.au/NI/1784158,Dispute over the payment of witness expenses to J Pratt for his attendance at Oatlands to give evidence.,,"Pratt, John",1595,1843,,,,,,,,,
CSO22/1/75 file number 1645,,https://stors.tas.gov.au/NI/1784161,"Dismissal of E Price, Superintendent of the Cascade Gang, for misconduct.",,"Price, Edward",1645,1843,,,,,,,,,
CSO22/1/106 file number 2268,,https://stors.tas.gov.au/NI/1784162,Application by E Price for re-employment by the Government.,,"Price, Edward",2268,1844,,,,,,,,,
CSO22/1/96 file number 1995,,https://stors.tas.gov.au/NI/1784168,Petitions from various persons for remission of sentences.,,"Price, John",1995,1845,,,,,,,,,
CSO22/1/106 file number 2247,,https://stors.tas.gov.au/NI/1784169,Appointment of J Price as Coroner for Hobart.,,"Price, John",2247,1844,,,,,,,,,
CSO22/1/126 file number 2584,,https://stors.tas.gov.au/NI/1784172,Complaint by G. Robertson about the omission of his name from the jury list for Hobart.,,"Price, John",2584,1844,,,,,,,,,
CSO22/1/7 file number 220,,https://stors.tas.gov.au/NI/1784177,Necessity for additional vessels to cope with extra work in the Marine Department and details of those vessels.,,"Price, Stephen",220,1841,,,,,,,,,
CSO22/1/27 file number 969,,https://stors.tas.gov.au/NI/1784181,Report on the need for repairs to the Bridge across the River Dee.,,"Price, Thomas",969,1842,,,,,,,,,
CSO22/1/93 file number 1995,,https://stors.tas.gov.au/NI/1784184,Petitions from various persons for remission of sentences.,,"Priest, John",1995,1843,,,,,,,,,
CSO22/1/94 file number 1995,,https://stors.tas.gov.au/NI/1784185,Petitions from various persons for remission of sentences.,,"Priestley, David",1995,1844,,,,,,,,,
CSO22/1/11 file number 463|CSO22/1/11 file number 464,|,https://stors.tas.gov.au/NI/1784188,Various petitions for remission of sentences and other indulgences.,,"Pritchard, James","463, 464",1841,,,,,,,,,
CSO22/1/11 file number 463|CSO22/1/11 file number 464,|,https://stors.tas.gov.au/NI/1784189,Various petitions for remission of sentences and other indulgences.,,"Pritchett, John Robert","463, 464",1841,,,,,,,,,
CSO22/1/109 file number 2361,,https://stors.tas.gov.au/NI/1784191,Petition of S Probin for the return of certain bricks confiscated from her.,,"Probin, Sarah",2361,1844,,,,,,,,,
CSO22/1/14 file number 629,,https://stors.tas.gov.au/NI/1784194,Request by W. Pugh for legislation to assist the medical profession to recover debts.,,"Pugh, William R",629,1842,,,,,,,,,
CSO22/1/85 file number 1822,,https://stors.tas.gov.au/NI/1784196,Petitions from B.G. Haygarth relating to his imprisonment for debt.,,"Pugh, William R",1822,1843,,,,,,,,,
CSO22/1/143 file number 3026,,https://stors.tas.gov.au/NI/1784204,Authority for the return of certain money confiscated from a prisoner named Purze.,,"Purze, Given Name Not Recorded",3026,1845,,,,,,,,,
CSO22/1/141 file number 2950,,https://stors.tas.gov.au/NI/1784205,Petition by certain residents for H Pyke to be appointed Pound Keeper for the Nile Rivulet district.,,"Pyke, Henry",2950,1845,,,,,,,,,
CSO22/1/43 file number 1368,,https://stors.tas.gov.au/NI/1784206,"Application by G Pyle for leave of absence as Inspector of Stock, Launceston.",,"Pyle, George",1368,1842,,,,,,,,,
CSO22/1/24 file number 1299|CSO22/1/24 file number 1300,|,https://stors.tas.gov.au/NI/1784210,Petition from certain persons for remission of sentences.,,"Quinn, Mary","1299, 1300",1842,,,,,,,,,
CSO22/1/124 file number 2548,,https://stors.tas.gov.au/NI/1784212,Authority for the supply of copies of Acts to J Radcliff as Justice of the Peace,,"Radcliffe, James",2548,1844,,,,,,,,,
CSO22/1/12 file number 541,,https://stors.tas.gov.au/NI/1784214,Report on existing procedure for sentencing convicts already under a life sentence.,,"Rainbird, Samuel",541,1841,,,,,,,,,
CSO22/1/31 file number 1090,,https://stors.tas.gov.au/NI/1784215,Authority for E Rainsford to enclose Crown Land to supply forage for his horse.,,"Rainsford, Edward",1090,1842,,,,,,,,,
CSO22/1/35 file number 1167,,https://stors.tas.gov.au/NI/1784220,"Petition of J Randall for a reward for the apprehension of S Gwilliam, convicted of murder.",,"Randall, Charles",1167,1842,,,,,,,,,
CSO22/1/35 file number 1167,,https://stors.tas.gov.au/NI/1784221,"Petition of J Randall for a reward for the apprehension of S Gwilliam, convicted of murder.",,"Randall, John",1167,1842,,,,,,,,,
CSO22/1/22 file number 882,,https://stors.tas.gov.au/NI/1784223,Application from J Fitzgerald Acting Deputy Purveyor for additional allowances.,,"Randolph, W.W.C",882,1842,,,,,,,,,
CSO22/1/134 file number 2877,,https://stors.tas.gov.au/NI/1784228,Application by E Rawling for the position of District Constable at New Norfolk.,,"Rawling, Edward",2877,1845,,,,,,,,,
CSO22/1/24 file number 1299|CSO22/1/24 file number 1300,|,https://stors.tas.gov.au/NI/1784234,Petitions from certain persons for remission of sentences.,,"Rayner, William James","1299, 1300",1842,,,,,,,,,
CSO22/1/104 file number 2196,,https://stors.tas.gov.au/NI/1784235,Applications from various persons for Public Entertainment Licences,,"Rea, Thomas",2196,1844,,,,,,,,,
CSO22/1/29 file number 1014|CSO22/1/29 file number 1016,|,https://stors.tas.gov.au/NI/1784240,Petition from certain persons for remission of sentences.,,"Redding, Richard","1014, 1016",1842,,,,,,,,,
CSO22/1/94 file number 1995,,https://stors.tas.gov.au/NI/1784242,Petitions from various persons for remission of sentences.,,"Redman, Sarah",1995,1844,,,,,,,,,
CSO22/1/69 file number 1518,,https://stors.tas.gov.au/NI/1784248,Petition of T. Bension for the assignment of his wife to his service.,,"Reed, Thursa",1518,1843,,,,,,,,,
CSO22/1/11 file number 454,,https://stors.tas.gov.au/NI/1784250,Authority for the payment of certain person in the Probation Parties from Convict Funds.,,"Reeves, Thomas",454,1841,,,,,,,,,
CSO22/1/107 file number 2276,,https://stors.tas.gov.au/NI/1784251,"Authority for the Reverend G Bateman to visit five men in the Oatlands gaol, sentenced to death.",,"Reid, Alexander",2276,1844,,,,,,,,,
CSO22/1/130 file number 2745,,https://stors.tas.gov.au/NI/1784253,Appointment of various Justices of the Peace and proposals for the appointment of others.,,"Reid, Charles",2745,1844,,,,,,,,,
CSO22/1/141 file number 2960,,https://stors.tas.gov.au/NI/1784256,Aplication by J Reid for the return of money and articles confisicated from him at Clarence Plains.,,"Reid, John",2960,1845,,,,,,,,,
CSO22/1/8 file number 271,,https://stors.tas.gov.au/NI/1784262,Authority for additional pay for P Emmett for compiling a report on convict discipline.,,"Reynolds, Lawrence",271,1841,,,,,,,,,
CSO22/1/140 file number 2921,,https://stors.tas.gov.au/NI/1784263,Proposals for the relief of the detachment stationed on Tasman's Peninsula.,,"Rice, Ausgustus Thomas",2921,1845,,,,,,,,,
CSO22/1/140 file number 2926,,https://stors.tas.gov.au/NI/1784275,Petition by B Bateman for the return of certain money allegedly confiscated from her in Launceston.,,"Richardson, James",2926,1845,,,,,,,,,
CSO22/1/108 file number 2322,,https://stors.tas.gov.au/NI/1784277,Petition by J Richardson for compensation for the loss of his boat stolen by absconders.,,"Richardson, John",2322,1844,,,,,,,,,
CSO22/1/13 file number 580,,https://stors.tas.gov.au/NI/1784282,Requisition for certain supplies required for the Mount Direction Signal Station.,,"Richmond, Robert",580,1841,,,,,,,,,
CSO22/1/123 file number 2525,,https://stors.tas.gov.au/NI/1784284,Applications for the position of Collecting Clerk in the Hobart Police Office.,,"Rigby, Roger Palgrave",2525,1844,,,,,,,,,
CSO22/1/93 file number 1995,,https://stors.tas.gov.au/NI/1784286,Petitions from various persons for remission of sentences.,,"Rigby, William",1995,1843,,,,,,,,,
CSO22/1/93 file number 1995,,https://stors.tas.gov.au/NI/1784287,Petitions from various persons for remission of sentences.,,"Riley, Elizabeth",1995,1843,,,,,,,,,
CSO22/1/130 file number 2745,,https://stors.tas.gov.au/NI/1784296,Appointment of various Justices of the Peace and proposals for the appointment of others.,,"Ritchie, Thomas",2745,1844,,,,,,,,,
CSO22/1/140 file number 2880,,https://stors.tas.gov.au/NI/1784297,Objections to a proposal to use a section of the old Launceston racecourse for a Government Garden.,,"Ritchie, Thomas",2880,1845,,,,,,,,,
CSO22/1/134 file number 2874,,https://stors.tas.gov.au/NI/1784308,Application by P Roberts for exemption from jury service at Oatlands.,,"Roberts, Peter",2874,1845,,,,,,,,,
CSO22/1/130 file number 2728,,https://stors.tas.gov.au/NI/1784309,Acceptance of a tender by R Roberts for the erection of a dog house as called for by the provisons of the Dog Act.,,"Roberts, R",2728,1844,,,,,,,,,
CSO22/1/46 file number 128,,https://stors.tas.gov.au/NI/1784314,Recommendations for the admission of certain persons into the Asylum at New Norfolk.,,"Robertson, Charles",128,1841,,,,,,,,,
CSO22/1/14 file number 625,,https://stors.tas.gov.au/NI/1784315,Authority for the exchange of officer commanding troops at Port Arthur.,,"Robertson, Charles",625,1842,,,,,,,,,
CSO22/1/56 file number 1464,,https://stors.tas.gov.au/NI/1784318,Proposals for certain alterations in the distribution of the Military force in the Colony.,,"Robertson, Charles",1464,1843,,,,,,,,,
CSO22/1/4 file number 62,,https://stors.tas.gov.au/NI/1784319,Application of W Seccombe for a remission of a fine imposed for non-attendance as a juror.,,"Robertson, Daniel",62,1841,,,,,,,,,
CSO22/1/126 file number 2584,,https://stors.tas.gov.au/NI/1784320,Complaint by G. Robertson about the omission of his name from the jury list for Hobart.,,"Robertson, Gilbert",2584,1844,,,,,,,,,
CSO22/1/142 file number 2988,,https://stors.tas.gov.au/NI/1784323,Acceptance of a tender of J Robertson for the addition of certain equipment at the Hobart Slaughterhouse,,"Robertson, James",2988,1845,,,,,,,,,
CSO22/1/103 file number 2186,,https://stors.tas.gov.au/NI/1784327,"Complaint by Brown and Douglas about W Robertson, Overseer in the Engineer Department, being permitted to tender for stores.",,"Robertson, William",2186,1844,,,,,,,,,
CSO22/1/41 file number 1319,,https://stors.tas.gov.au/NI/1784329,Application for J.H Anderson for a public entertainment licence.,,"Robinson, John",1319,1842,,,,,,,,,
CSO22/1/108 file number 2319,,https://stors.tas.gov.au/NI/1784330,Report of the need for additional troops at Oatlands and arrangements for their accommodation.,,"Robinson, John",2319,1844,,,,,,,,,
CSO22/1/56 file number 1458,,https://stors.tas.gov.au/NI/1784334,Petition by interested parties complaining of a proposed monopoly in the purchase of coal at Port Arthur for sale and delivery at Hobart.,,"Robinson, Thomas",1458,1843,,,,,,,,,
CSO22/1/12 file number 1592,,https://stors.tas.gov.au/NI/1784336,Appointment of G Robson as a Coroner for the Territory.,,"Robson, George",1592,1843,,,,,,,,,
CSO22/1/78 file number 1703,,https://stors.tas.gov.au/NI/1784337,Application by G Robson for appointment as Assistant Police Magistrate at Port Sorell.,,"Robson, George",1703,1843,,,,,,,,,
CSO22/1/122 file number 2491,,https://stors.tas.gov.au/NI/1784338,Instructions relating to the payment of fees to Coroners for holding inquest. Includes list of Coroners.,,"Robson, George",2491,1844,,,,,,,,,
CSO22/1/53 file number 390,,https://stors.tas.gov.au/NI/1784340,Draft legislation to provide for the better management of Courts of Requests.,,"Rocher, Charles A",390,1841,,,,,,,,,
CSO22/1/29 file number 1056,,https://stors.tas.gov.au/NI/1784341,"Application for the release of I Gilmore and T Lewis, allegedly wrongly charged.",,"Rocher, Charles A.W",1056,1842,,,,,,,,,
CSO22/1/96 file number 1995,,https://stors.tas.gov.au/NI/1784342,Petitions from various persons for remission of sentences.,,"Rodan, Peter",1995,1845,,,,,,,,,
CSO22/1/18 file number 742,,https://stors.tas.gov.au/NI/1784343,Authority for the appointment of two additional clerks in the office of the Registrar of the Probation Department.,,"Rodd, Henry",742,1842,,,,,,,,,
CSO22/1/81 file number 1777,,https://stors.tas.gov.au/NI/1784344,"Application for a salary increase by H Rodd, Clerk in the Department of Convict Discipline.",,"Rodd, Henry",1777,1843,,,,,,,,,
CSO22/1/128 file number 2655,,https://stors.tas.gov.au/NI/1784345,Employment of certain persons as detectors of illegal stills and the payment of rewards for such detection.,,"Roden, Peter",2655,1844,,,,,,,,,
CSO22/1/129 file number 2702,,https://stors.tas.gov.au/NI/1784347,Acceptance of a tender by E. Rodgerson for shoeing the horses of the Mounted Police.,,"Rodgerson, Enoch",2702,1844,,,,,,,,,
CSO22/1/11 file number 443,,https://stors.tas.gov.au/NI/1784358,Application by C.H Ross for permission for Mary McGrath to visit her husband.,,"Ross, Charles H",443,1841,,,,,,,,,
CSO22/1/1 file number 42,,https://stors.tas.gov.au/NI/1784360,Claim for expenses by special jury empanelled to decide the property left by the late Crown Solicitor.,,"Ross, Hugh",42,1841,,,,,,,,,
CSO22/1/38 file number 1210,,https://stors.tas.gov.au/NI/1784369,"Petition of residents of Norfolk Plains, Carrick and Little Hampton for the establishment of a Probation Station.",,"Rowcroft, Horace",1210,1842,,,,,,,,,
CSO22/1/91 file number 1941,,https://stors.tas.gov.au/NI/1784370,Suggestions by H. Rowcroft relating to regulations for the employment of Probation convicts on wages.,,"Rowcroft, Horace",1941,1843,,,,,,,,,
CSO22/1/104 file number 2206,,https://stors.tas.gov.au/NI/1784371,Complaint by J.P Rowe about the site chosen for the pump in upper Davey Street.,,"Rowe, John P",2206,1844,,,,,,,,,
CSO22/1/143 file number 3023,,https://stors.tas.gov.au/NI/1784372,Application by J.P Rowe for appointment as medical officer to the Police and Gaols in Hobart.,,"Rowe, John P",3023,1845,,,,,,,,,
CSO22/1/99 file number 2071,,https://stors.tas.gov.au/NI/1784374,Report of the capture of two absconders on Flinders Island and rewards for their capture.,,"Rowe, William",2071,1844,,,,,,,,,
CSO22/1/122 file number 2499,,https://stors.tas.gov.au/NI/1784375,Report of the need for additional constables in the Port Sorell district.,,"Rowe, William",2499,1844,,,,,,,,,
CSO22/1/128 file number 2642,,https://stors.tas.gov.au/NI/1784376,Report of the escape from George Town of two prisoners and of the need for additional constables there.,,"Rowe, William",2642,1844,,,,,,,,,
CSO22/1/94 file number 1995,,https://stors.tas.gov.au/NI/1784377,Petitions from various persons for remission of sentences.,,"Rowland, David",1995,1844,,,,,,,,,
CSO22/1/35 file number 1137,,https://stors.tas.gov.au/NI/1784383,Petition by J. Birchall for release from gaol and complaints of his treatment there.,,"Rowlands, Thomas Wood",1137,1842,,,,,,,,,
CSO22/1/102 file number 2173,,https://stors.tas.gov.au/NI/1784384,Requests for the removal of certain prisoners from the Richmond Gaol.,,"Rowley, John",2173,1844,,,,,,,,,
CSO22/1/107 file number 2276,,https://stors.tas.gov.au/NI/1784386,"Authority for Reverend G Bateman to visit five men in the Oatlands gaol, sentenced to death.",,"Ruben, John",2276,1844,,,,,,,,,
CSO22/1/136 file number 1541,,https://stors.tas.gov.au/NI/1784387,"Arrangements for quarters for the officer in charge of the military detachments at Rocky Hills, Maria Island and Waterloo Point.",,"Rudd, George",1541,1843,,,,,,,,,
CSO22/1/76 file number 1671,,https://stors.tas.gov.au/NI/1784388,Proposals for the erection of Police Buildings at Spring Bay together with certain tenders.,,"Rudd, George",1671,1843,,,,,,,,,
CSO22/1/124 file number 2536,,https://stors.tas.gov.au/NI/1784390,Authority for the payment of a reward to J Massam for the capture of three bushrangers.,,"Rushton, Thomas",2536,1844,,,,,,,,,
CSO22/1/131 file number 2790,,https://stors.tas.gov.au/NI/1784395,Authority for the completion of the Police buildings at Marlborough.,,"Russell, Henry",2790,1845,,,,,,,,,
CSO22/1/78 file number 1732,,https://stors.tas.gov.au/NI/1784397,Application by J.C Russell for arrears of salary claimed to be due to him.,,"Russell, J.C",1732,1843,,,,,,,,,
CSO22/1/128 file number 2649,,https://stors.tas.gov.au/NI/1784398,Request by J Russell for a document (missing) to be presented to the Lieutenant Governor.,,"Russell, James",2649,1844,,,,,,,,,
CSO22/1/54 file number 1423,,https://stors.tas.gov.au/NI/1784399,Report on the need for another Magistrate to serve the Bothwell district.,,"Russell, Philip",1423,1843,,,,,,,,,
CSO22/1/7 file number 205,,https://stors.tas.gov.au/NI/1784400,"Authority for the payment of salary to W Russell, Clerk in the Principal Superintendent's office",,"Russell, William",205,1841,,,,,,,,,
CSO22/1/24 file number 1299|CSO22/1/24 file number 1300,|,https://stors.tas.gov.au/NI/1784401,Petitions from certain persons for remission of sentences.,,"Russell, William","1299, 1300",1842,,,,,,,,,
CSO22/1/104 file number 2196,,https://stors.tas.gov.au/NI/1784402,Applications from various persons for Public Entertainment Licences.,,"Russell, William",2196,1844,,,,,,,,,
CSO22/1/110 file number 2397,,https://stors.tas.gov.au/NI/1784407,Application for the establishment of a pound at New Town and the appointment of Sadler as Pound Keeper.,,"Sadler, Given Name Not Recorded",2397,1844,,,,,,,,,
CSO22/1/130 file number 2745,,https://stors.tas.gov.au/NI/1784411,Appointment of various Justices of the Peace and proposals for the appointment of others.,,"Salmon, John Richard",2745,1844,,,,,,,,,
CSO22/1/55 file number 1441,,https://stors.tas.gov.au/NI/1784413,Authority for the payment of witness expenses to I. Salter.,,"Salter, Isaac",1441,1842,,,,,,,,,
CSO22/1/78 file number 1703,,https://stors.tas.gov.au/NI/1784414,Application by G Robson for appointment as Assistant Police Magistrate at Port Sorell.,,"Sams, George",1703,1843,,,,,,,,,
CSO22/1/180 file number 2745,,https://stors.tas.gov.au/NI/1784415,Appointment of various Justices of the Peace and proposals for the appointment of others.,,"Sams, George",2745,1844,,,,,,,,,
CSO22/1/143 file number 3032,,https://stors.tas.gov.au/NI/1784420,Authority for the payment of fees to W Malcolm for a survey and plan used at the trial of the murderers of J Saunders.,,"Saunders, Jane",3032,1845,,,,,,,,,
CSO22/1/75 file number 1635,,https://stors.tas.gov.au/NI/1784426,Application by J Sawyer for a salary increase as Overseer in the Town Surveyor's Department,,"Sawyer, John",1635,1843,,,,,,,,,
CSO22/1/134 file number 2865,,https://stors.tas.gov.au/NI/1784429,Petition by certain passholders for wages allegedly withheld from them when employed by the Marine Department.,,"Scanlin, Thomas",2865,1845,,,,,,,,,
CSO22/1/1 file number 106,,https://stors.tas.gov.au/NI/1784430,Instructions that all Police Magistrates are to comment on memorials for indulgences forwarded through them.,,"Schaw, Charles",106,1841,,,,,,,,,
CSO22/1/49 file number 124,,https://stors.tas.gov.au/NI/1784432,Instructions for the better management of the various Courts of Requests.,,"Schaw, Charles",124,1841,,,,,,,,,
CSO22/1/35 file number 1128,,https://stors.tas.gov.au/NI/1784438,Petition and correspondence relating to salary increases for certain Police and Assistant Police Magistrates.,,"Schaw, Charles",1128,1842 to 1845,,,,,,,,,
CSO22/1/27 file number 964,,https://stors.tas.gov.au/NI/1784441,"Censure of C Schaw for failing to comment on memorials for indulgences, forwarded through him.",,"Schaw, Charles",964,1842,,,,,,,,,
CSO22/1/56 file number 1449,,https://stors.tas.gov.au/NI/1784442,"Dismissal of J Jewel, Chief District Constable at Richmond for misconduct.",,"Schaw, Charles",1449,1843,,,,,,,,,
CSO22/1/100 file number 2100,,https://stors.tas.gov.au/NI/1784446,Petitions for Public House licences in the Richmond district and the results of such petitions.,,"Schaw, Charles",2100,1844,,,,,,,,,
CSO22/1/141 file number 2941,,https://stors.tas.gov.au/NI/1784451,"Authority for a gratuity to be paid to A Scott, clerk in the Hobart Police office for additional duties performed by him.",,"Scott, Alexander",2941,1845,,,,,,,,,
CSO22/1/80 file number 1742,,https://stors.tas.gov.au/NI/1784453,Proposals for the removal of E. Scott and her associates to Gaols in the Interior.,,"Scott, Ellen",1742,1843,,,,,,,,,
CSO22/1/128 file number 2654,,https://stors.tas.gov.au/NI/1784454,"Authority for the payment of a salary increase for H Scott, Clerk of the Market.",,"Scott, Hopton",2654,1844,,,,,,,,,
CSO22/1/223 file number 2525,,https://stors.tas.gov.au/NI/1784460,Applications for the position of Collecting Clerk in the Hobart Police Office.,,"Scott, Sandford",2525,1844,,,,,,,,,
CSO22/1/142 file number 2998,,https://stors.tas.gov.au/NI/1784461,Instructions for the erection of a Watch House at Cocked Hat Hill.,,"Scott, Thomas",2998,1845,,,,,,,,,
CSO22/1/125 file number 2561|CSO22/1/125 file number 2566,|,https://stors.tas.gov.au/NI/1784462,Suggestion that the Police be supplied with a boat for the pursuit of absconders from Port Arthur.,,"Scrimshaw, William","2561, 2566",1844,,,,,,,,,
CSO22/1/89 file number 1891,,https://stors.tas.gov.au/NI/1784464,"Dismissal of W Foord, Clerk of Works, for having employed convicts for his own benefit.",,"Seabrook, H.W",1891,1843,,,,,,,,,
CSO22/1/8 file number 343,,https://stors.tas.gov.au/NI/1784468,Applications from various persons for remission of fines imposed for non-attendance as jurors.,,"Seale, Charles",343,1841,,,,,,,,,
CSO22/1/42 file number 1336,,https://stors.tas.gov.au/NI/1784475,Complaint by H. Welman about charges having been made for medical attendance on his family.,,"Seccombe, William",1336,1842,,,,,,,,,
CSO22/1/100 file number 2109,,https://stors.tas.gov.au/NI/1784479,Application by W Seccombe to be appointed Coroner for Hobart.,,"Seccombe, William",2109,1844,,,,,,,,,
CSO22/1/93 file number 1995,,https://stors.tas.gov.au/NI/1784484,Petitions from various persons for remission of sentences.,,"Seymour, Harriet",1995,1843,,,,,,,,,
CSO22/1/94 file number 1995,,https://stors.tas.gov.au/NI/1784487,Petitions from various persons for remission of sentences.,,"Shard, Thomas",1995,1844,,,,,,,,,
CSO22/1/95 file number 1995,,https://stors.tas.gov.au/NI/1784488,Petitions from various persons for remission of sentences.,,"Shard, Thomas",1995,1844,,,,,,,,,
CSO22/1/8 file number 343,,https://stors.tas.gov.au/NI/1784492,Applications from various persons for remission of fines imposed for non-attendance as jurors.,,"Sharman, William",343,1841,,,,,,,,,
CSO22/1/139 file number 2291,,https://stors.tas.gov.au/NI/1784493,Instructions for the attendance of Medical officers on prisoners in lock ups and on constables and difficulties created by such instructions.,,"Shaw, E.C",2291,1844,,,,,,,,,
CSO22/1/20 file number 807,,https://stors.tas.gov.au/NI/1784502,Application of W Shaw for appointment as a constable.,,"Shaw, William",807,1842,,,,,,,,,
CSO22/1/41 file number 1315,,https://stors.tas.gov.au/NI/1784503,Instructions for the return to England of seamen left in hospital and difficulties in carrying out these instructions.,,"Shea, John",1315,1842,,,,,,,,,
CSO22/1/134 file number 2865,,https://stors.tas.gov.au/NI/1784505,Petition by certain passholders for wages allegedly withheld from them when employed by the Marine Department.,,"Sheen, James",2865,1845,,,,,,,,,
CSO22/1/95 file number 1995,,https://stors.tas.gov.au/NI/1784509,Petitions from various persons for remission of sentences.,,"Shergold, John",1995,1844,,,,,,,,,
CSO22/1/56 file number 1461,,https://stors.tas.gov.au/NI/1784510,"Application by J Sherman for appointment to the position of Inspector of Stock, Forrestier's Peninsula.",,"Sherman, James",1461,1843,,,,,,,,,
CSO22/1/26 file number 929,,https://stors.tas.gov.au/NI/1784511,Action against J Sherwin for damming the river Clyde above Hamilton.,,"Sherwin, George",929,1842,,,,,,,,,
CSO22/1/26 file number 929,,https://stors.tas.gov.au/NI/1784513,Action against J Sherwin for damming the river Clyde above Hamilton.,,"Sherwin, John",929,1842,,,,,,,,,
